"2021/07/09 9:31:37 PM GMT+1","4º ano","Zé Gotinha é uma representação da vacina em si.","Darlan Rosa foi o criador do Zé Gotinha.","As propagandas de vacina antes da criação do Zé Gotinha eram asustadoras.","Zé Gotinha foi criado em 1986.","Antigamente Zé Gotinha era menos digitalizado e não tinha um nome.
Atualmente  Zé Gotinha tem um nome, é mais digitalizado e  tem mais sucesso.","Zé Gotinha aparecia chorando no comercial, porque ele não tinha um nome.","O nome Zé Gotinha foi escolhido através de cartas que haviam sugestões de nomes.","Os organizadores entenderam que o nome deveria ser Zé Gotinha, porque mais de 10 mil cartas sugeriam o nome Zé Gotinha.","Um menino do Distrito Federal levou o prêmio.","A ideia era que alguém forte passasem coragem para quem tinha que vacinar.","Vacina é um assunto sério, porque se a gente não tomar ela nós podemos ficar doente.","Não é preciso ter medo de tomar vacina, porque não doi.","Poliomielite é uma doença que causa paralisia nas crianças.","O concurso foi feito por meio de cartas, porque antigamente não havia a tecnologia que há hoje.","O que há no personagem que incentiva as crianças a se vacinarem é a coragem.","Atualmente o criador de Zé Gotinha é escultor. ","Esse recurso serve para indicar que um personagem está falando.","Primeiro trecho é um fato. 
O segundo trecho é uma opinião.","O sentido da palavra barreira dos medos é  que as crianças não tem mais medo de vacinar.
O sentido da palavra deslanchou é aumentou.","Morrer de medo significa  ficar com muito medo.","A reportagem selecionou esse desenho do arquivo pessoal do Darlan Rosa."
"2021/07/09 9:31:48 PM GMT+1","4º ano","Zé Gotinha é representação da vacina.","Darlan Rosa foi quem inventou este personagem.","As propagandas de vacina antes da criação do Zé Gotinha eram assustadoras.","Zé Gotinha foi criado em 1986.","Zé Gotinha ele parecia um comercial chorando.Ele é atualmente  ele trabalha como escultor.","Ele aparecia no comercial chorando porque não tinha ainda um nome.","A escolha dele foi Zé Gotinha,porque se parecia como uma gota.","Os organizadores entederam que o nome deveria ser Zé Gotinha, porque se parecia como uma gota. ","Quem ganhou o prêmio foi menino do Distrito Federal.","A ideia da campanha do Zé Gotinha era escolher o nome para o Zé Gotinha.","A vacina é um assunto sério,porque ela te protege de doenças.","Não  é preciso ter medo. porque não doi.","Poliomielite é uma doença que não consegue andar.","O motivo do concurso te sido feito por cartas , porque na época não existia internet.","O personagem tinha bom humor e incentivava as crianças a tomar vacina .","O criador virou até nome do prédio residencial da cidade.","Esse recurso serve nesse texto pra copiar as falas de outras pessoas .","Fato:Darlan virou até nome de prédio residencial na cidade . Opinião : ""Aqui ,sou eu uma pessoa  ilustre '',brinca.","Sentido da palvra : barreira dos medo     
de vacinar.
Sentido da palavra :deslanchou , aumento da campanha.","Morrer de medo ''significa: ficar com medo.","A reportagem selecionou esse desenho do arquivo pessoal de Darlan Rosa "
"2021/07/09 9:31:54 PM GMT+1","4º ano","Zé Gotinha é  uma representação  da vacina .","Darlan Rosa é a criadora do Zé Gotinha.","As propagandas de vacina antes da criação do Zé Gotinha eram  assustadores pasavam na televisão .","Foi criado em 1986.","Caraceristicas  do Zé Gotinha quando nasceu: quando tinha dois anos era um um sucesso, mas não se chamava  Zé Gotinha, ele parecia um comercial chorando. Ele é atualmente ele trabalha como escultor.","Ele aparecia no comercial chorando ,porque não tinha ainda um nome.","A escolha dele foi Zé Gotinha, porque se parecia como uma gota.","Os organizadores entenderam que o nome deveria ser Zé Gotinha, porque se parecia com uma gota.","Quem ganhou o prêmio pela escolha do nome foi um menino do Distrito Federal.","A ideia principal  da campanha do Zé Gotinha era escolher o nome para o Zé Gotinha.","A vacina é um assunto sério ,porque  ela te protege de doenças.","Não  é preciso ter me do ,porque não doi.","Poliomielite é uma doença que você não consegue andar.","O motivo do concurso te sido feito por cartas, porque na época não existia internet. 
","O personagem tinha  bom humor e incentivava as pessoas a tomar vacina.","O criador virou até nome do prédio residencial da cidade ."," Esse recurso serve nesse texto para copiar as  falas de outras pessoas.","Fato: Darlan virou até nome de prédio residencial na cidade.
Opinião:"" Aqui, sou uma pessoa ilustre"",brinca."," Sentido da palavra :barreira dos medo
 de vacinar.
Sentido da palavra :deslanchou, aumento da campanha .","""Morrer de medo ""significa: ficar com medo."," A reportagem selecionou esse desenho do Arquivo pessoal Darlan Rosa.
"
"2021/07/09 9:33:56 PM GMT+1","4º ano","Ele é um mascote de um posto de vacinação desenvolvido pela Darlan Rosa ele nasceu em 1986.","Darlan Rosa é a criadora do Zé Gotinha.","Éra um personagem chorando no canto falando que não tinha nome.","Ele foi criado em 1986.","Antes ele não tinha nome e era formado por duas gotas. Hoje ele tem corpo e ele tem nome. ","Ele aparecia chorando porque ele não tinha nome.","Pelos os votos.","Porque foi o nome queteve mais votos.","Foi um menino do Distrito Federal.","Era que uma pessoa forte passase coragem para outra pessoa.","Porque sem isso as pessoas podem morrer.","Porque a vacina não faz mal.","É uma doença que causa pralisia na criança.","Porque na época não tinha tecnologia.","Que ele era anima e divertido.","Hoje ela faz esculturas em Brasilia","Que a Dalan está falando.","O primeiro é uma opinião e o segundo é fato.","Os medos/foi para frente.","Ter muito medo.","É um aquivo pessoal da Dalan Rosa"
"2021/07/09 9:40:59 PM GMT+1","4º ano","o zé Gotinha é um mascote da campanha de vacinação, que nos influencia a tomar vacina.","Darlan Rosa e a criadora do Zé Gotinha .","AS propagandas eram assustadoras .","o ZÉ Gotinha foi criado em  1986","Quando ele nasceu ele erra  apenas uma gota 
","O zé  Gotinha aparecia chorando, pois ele não tinha nome","A escolha foi feita através de cartas de sugestões ","OS organizadores entenderam pois ele tinha um formato de gota ","QUEM levou o prêmio pela escolha foi um menino do distrito federal","A ideia  principal e vacinar todos ","A vacina e importante  pois cuida da nossa saúde  ","NÃO e´ preciso ter medo pois a vacina cuida e não faz mal ","É UMA DOENÇA QUEDA paralisia nas crianças","o assunto foi feito atravez de cartas porque a muito tempo não tinha tcnologia HÁ ","Há no personagem uma gotinha fofa ","ELE faz atualmente ele trabalha como  escutror ","ESSES recurso serve a fala de uma pessoa ","o primeiro e um fato 
e o segundo e uma opinião ","o medo ficou para traz ","morrer de medo significa ficar com pavor de alguma coisa fato ","a reportagem selecionou da darlene"
"2021/07/09 9:48:15 PM GMT+1","4º ano","O zé Gotinha é um mascote que fala sobre vacinas","Darlan Rosa é o pai do ze gotinha.","Eram assustadoras.","Ele foi criado em 1986.","Quando ele nasceu ele era só uma gota mas depois ele virou um personagem que virou sucesso.","Ele aparecia no cormecial chorando pois, as pessoas nao tinha ainda criado um nome pra ele ainda.","A escolha de Zé Gotinha foi feita por um sorteio em cartas.","os organizadores decidiram esse nome porque ele era uma gota.","Darlan Rosa.","A ideia era motivar as pessoas a tomar vacina sem medo.","Vacina é um assunto sério porque sem vacinas as pessoas iriam passar mal.","Não é preciso ter medo de tomar vacina porque não dói.","Doença","O assunto foi feito por meio de cartas porque  teve varias pessoas que pusseram o nome dele diferentes.","Há no personagem uma gotinha fofa para as crianças não ter medo.","Incentiva as pessoas a tomar vacina sem medo.","A fala de uma pessoa.","o primeiro trecho é um fato e o segundo é uma opinião.","O medo . Foi pra frente","Morrer de medo significa ficar com muito medo.","a reportagem relacionou o zé gotinha com uma gota."
"2021/07/09 9:48:42 PM GMT+1","4º ano","Zé Gotinha é um mascote de vacina.","Darlan Rosa é uma pessoa que tem 74 anos que mora em Brasília.","As propagandas de Zé Gotinha era ele chorando porque não tinha um nome.","Zé Gotinha foi criado em 1986.","Zé Gotinha era um personagem que não tinha nome e vivia triste. Mas hoje em dia ele tem um nome é feliz.","Ele aparecia chorando no comercial porque não tinha um nome.","A escolha do Zé Gotinha foi feita por um concurso.","Os organizadores entenderam que o nome seria este, e, para escolher só um vencedor, foi feito um sorteio.","A pessoa que levou o prêmio pelo o nome foi um menino do distrito federal.","A ideia principal é proteger as pessoas da doença.","A vacina é um assunto sério porque salva vidas de pessoas.","Porque só é uma picadinha."," Poliomielite é uma doença.","Porque não tinha internet.","Há no personagem para as crianças vacinarem porque era uma gotinha.","atualmente ela trabalha como escultor.","As aspas servem para indicar que a frase é da pessoa que escreveu.","o primeiro trecho é um fato e o segundo é uma opinião.","O sentido das palavras em destaque é que o medo das crianças acabou.
","Morrer de medo significa  ficar com muito medo.","A reportagem relacionou o Zé Gotinha como uma gota."
"2021/07/09 9:50:04 PM GMT+1","4º ano","O personagem Zé Gotinha já é um velho conhecido dos brasileiros, desde a década de 1980, quando o mascote foi criado para encorajar as crianças na hora de se vacinar contra a poliomelite.","Darlan Rosa é pai do personagem, que se-chama Zé Gotinha.","O inisio do Zé Gotinha foi muito bon porque quando ele surgiu todo mundo ficou desesperad","O Zé Gotinha foi criado em 1986.
","O Zé Gotinha ficava triste.","Polio é o apelido da poliomie  , doença que causa que paralisia nas crianças.foi ","Foi fei para animar as crianças.","Porque o personagen é de gota..","Foi o Zé GOTInha .","Para as criansas ficar felis. ","poque tengente que nao vasina ele morre.","porque nao doi.","E UMA DUENSA.","
AO TINHA tequenologia.","para a gente nao morre","ele melhora as coisas melhores.","ele serve prara  uma frase de um personagen.","1 fato

2 opinião.","medo da vasina ,avansao.","uma coisa que voce ten medo.","nao sei"
"2021/07/09 9:50:35 PM GMT+1","4º ano","O ZÉ Gotinha é uma gotinha que cuida das pessoas ; protege as pessoas.","É a criadora do Zé Gotinha.","As propagandas de vacina antes eram aterrorizantes.","O Zé Gotinha foi criado em 1986.","Antigamente o Zé Gotinha era mais bonito é o de hoje em dia é mais feio ;ele antigamente era formado por duas gotinhas.","Eu acho que é pois ele não tinha um nome.","Foi feita a escolha do nome pois 10 mil pessoas es colheram e se nome.","Pois os organizadores viram o formato do personagem que é forma do por duas gotinhas.","foi uma mulher.","A ideia era as pessoas não ficarem com medo.","Pois é","Pois é legal para a saúde.","Poliomielite  é uma doença.","Pois não tinha a tneologia.","A coragem.","A criadora do Zé Gotinha.","não sei ","não sei","não sei","não sei","não sei"
"2021/07/09 9:52:18 PM GMT+1","4º ano"," Zé Gotinha e um mascote para passar coragem as pessoas , porque as pessoas não gostavam de se vacinar.","Darlan Rosa e ''pai'' de Zé Gotinha.","Eram assustadores , porque todos achavam que colocar medo ia da certo.","Zé gotinha foi criado em 1986 por Darlan rosa.","Ele era branco e choram hoje e alegre com toques de azul.","Porque Zé Gotinha ainda não tinha seu nome Zé Gotinha","Foi feita por cartas a escolha do nome.","Porque tinha mas de 10mil cartas.","Foi um menino do Distrito Federal. ","A ideia princinpal era da coragem para todos","Porque pode levar a morte.","Porque e pro bem de todos.","E uma doença","Porque não tinha internet."," São o formato a coragem."," trabalho escutor","servem para indicar a fala.","a primera e um fato
a segunda e uma opinião"," O medo acabou
com tinuol","não sei ","não sei"
"2021/07/11 12:03:18 AM GMT+1","5º ano","Zé Gotinha era um personagem que tinha o objetivo de passar coragem para quem tinha medo de se vacinar","Darlan Rosa foi a criadora do Zé Gotinha que hoje vive em Brasília com 74 anos","Eram assustadoras, pois alguns médicos achavam que para as pessoas entenderem que vacina era assunto sério elas tinham que ficar com medo de ficarem doentes","Ele foi criado em 1986","Ele antes era a representação da vacina em si  e hoje ele é duas gotas de poliomielite","Ele estava triste pois não tinha um nome","Por meio de um concurso e pediu que as pessoas mandassem sugestões","Porque mais de 10 mil cartas sugeriram o nome Zé Gotinha","Um menino do DF (Distrito federal)","Passar coragem para quem tinha medo de se vacinar","Porque ela nos protege de muita doenças e pode possibilitar que essa doença seja extinta se todos se vacinarem","Porque e para nosso próprio bem e evita das pessoas ficarem doentes","Poliomielite e uma doença que causa paralisia nas crianças que desde 1994 não circula mais no Brasil","Porque a minoria das pessoas tinham celular computador ","Ele explica porque e tão importante tomar vacina e se mostra corajoso na hora de tomar","Ele trabalha como  escultor em Brasília","Porque são as falas de Darlan Rosa","O fato e que o residencial onde Darlan Rosa mora ficou com o nome dele e a opinião e que ele e uma pessoa ilustre ali","O sentido e que a barreira dos medos acabou quer dizer e que todo o medo das crianças passou e o deslanchou foi que a campanha avançou ou seja deu certo","Significa que  as crianças tinham que ter tanto medo de ficarem doentes para que tomassem vacina","Ela selecionou dos arquivos pessoais do Darlan  Rosa"
"2021/07/11 4:19:22 PM GMT+1","5º ano","O mascote da vacinação.","Darlan Rosa que inventou o Zé Gotinha.","As propagandas eram assustadoras.","Ele foi criado em 1986.","Antes o Zé Gotinha tinha duas gotinhas na pólio e nos dias atuais ele é todo branco com o símbolo do SUS.","Porque ele não tinha um nome.","Um concurso que todos os brasileiros mandavam sugestões de nomes para o mascote e o nome mais votado seria o escolhido.","Porque foi o nome mais votado.","Um menino do Distrito Federal.","Incentivar as pessoas a tomarem as vacinas, pois elas estavam com medo.","As vacinas são assunto sério porque se não tomar as pessoas podem até morrer de alguma doença.","Porque ela só vai fazer o bem para nós.","É uma doença que causava paralisia nas crianças.","Porque não havia tecnologias só havia o meio de comunicação que é o de cartas.","Ele ser bonitinho, fofinho, educado e que causa aconchego.","Atualmente ele é um escultor.","As aspas neste texto significa as falas.","Fato: Darlan virou até nome de prédio residencial na cidade.
Opinião: Aqui sou uma ilustre.","Quer dizer que os medos acabaram e a campanha do Zé Gotinha foi um sucesso.","Quer dizer que para tomar vacina todas as pessoas precisavam morrer de medo de ficar doente. ","Da campanha da televisão."
"2021/07/11 7:48:25 PM GMT+1","5º ano","Zé Gotinha ajuda as crianças não terem medo da vacinação.","Darlan Rosa foi quem criou o Zé Gotinha.","Assustadoras.","Zé Gotinha foi criado em 1986.","Zé Gotinha antes falava sobre a paralisia infantil e hoje fala de todas as vacinas.","Porque ele ainda não tinha um nome.","Porque a vacina para a paralisia infantil e dada de gotinhas.","Para que as crianças entendessem que as gotinhas são amigas","Um menino do Distrito Federal.","Para que todas as crianças tomassem a vacina da paralisia infantil.","Para que nós ficamos imunizados.","Porque a vacina nos previne de várias doenças, para que ficamos com saúde.","Uma doença dos anos 1894.","Para que ninguém roubasse e que fosse votos justos.","Carisma e muita empatia.","Mora em Brasília e programação visual das publicações editadas pelo Departamento de Documentação e Divulgação do MEC.","As aspas foram usadas para indicar uma fala.","Sublinhe: Darlan virou até nome de prédio residencial na cidade.

Circule: “Aqui, sou uma pessoa ilustre”, brinca","Barreira dos medos: As crianças pararam de ter medo de vacinar porque queriam ver o Zé Gotinha.

Deslanchou: A campanha deu certo e as crianças entenderam a importância de vacinar.","Que todos estavam morrendo de medo de ficar doentes.","Da propaganda do Zé Gotinha."
"2021/07/12 8:22:15 PM GMT+1","5º ano","Zé Gotinha é um personagem criado para fazer as crianças a perderem o medo de tomar vacina.","Darlan Rosa foi quem inventou o Zé Gotinha.
","As propagandas eram assustadoras para fazer as pessoas a terem medo de ficar doente e tomarem a vacina sem medo.","Ele foi criado em 1986.","Zé Gotinha ficada chorando do comercial por não ter um nome, já hoje ele não chora mais pois tem um nome.","Ele aparecia no comercial chorando, pois não tinha um nome.","A escolha foi feita através de um concurso.","Eles entenderam que o nome deveria ser Zé Gotinha, pois havia chegado mais de 10 mil cartas sugerindo o nome Zé Gotinha.","Um menino do Dristrito Federal levou o prêmio.","A ideia principal da campanha era fazer as crianças perderem o medo da vacina e conscientizar sobre sua importância.","Vacina é um assunto sério pois é ela quem nos proteje das doenças.","Não é preciso ter medo pois se você se vacinar estará se protegendo e protegendo quem você ama.","Poliomielite é uma doença que causa paralisia nas crianças.","O concurso pode ter sido por meio de cartas para evitar a confusão de opniões diferentes.","Ele incentiva as crianças a se vacinarem pois ele é amigável, bonzinho e feliz.","O criador do Zé Gotinha trabalha de escultor.","As aspas servem para indicar a fala de uma pessoa.","Darlan virou até nome de prédio residencial na cidade - FATO
“Aqui, sou uma pessoa ilustre” - OPINIÃO","Barreira dos medos tem sentido de medo. Deslanchou tem sentido de dar certo ,nesse contexto.","Morrer de medo significa nesse contexto que todos tivessem medo de pegar as doenças.","A reportagem selecionou esse desenho do arquivo pessoal de Darlan Rosa."
"2021/07/12 8:31:05 PM GMT+1","5º ano","Zé Gotinha é um personagem criado para fazer as crianças a perderem o medo de tomar vacina.","Darlan Rosa foi quem inventou o Zé Gotinha.
","As propagandas eram assustadoras para fazer as pessoas a terem medo de ficar doente e tomarem a vacina sem medo.","Ele foi criado em 1986.","Zé Gotinha ficada chorando do comercial por não ter um nome, já hoje ele não chora mais pois tem um nome.","Ele aparecia no comercial chorando, pois não tinha um nome.","A escolha foi feita através de um concurso.","Eles entenderam que o nome deveria ser Zé Gotinha, pois havia chegado mais de 10 mil cartas sugerindo o nome Zé Gotinha.","Um menino do Dristrito Federal levou o prêmio.","A ideia principal da campanha era fazer as crianças perderem o medo da vacina e conscientizar sobre sua importância.","Vacina é um assunto sério pois é ela quem nos proteje das doenças.","Não é preciso ter medo pois se você se vacinar estará se protegendo e protegendo quem você ama.","Poliomielite é uma doença que causa paralisia nas crianças.","O concurso pode ter sido por meio de cartas para evitar a confusão de opniões diferentes.","Ele incentiva as crianças a se vacinarem pois ele é amigável, bonzinho e feliz.","O criador do Zé Gotinha trabalha de escultor.","As aspas servem para indicar a fala de uma pessoa.","Darlan virou até nome de prédio residencial na cidade - FATO
“Aqui, sou uma pessoa ilustre” - OPINIÃO","Barreira dos medos tem sentido de medo. Deslanchou tem sentido de dar certo ,nesse contexto.","Morrer de medo significa nesse contexto que todos tivessem medo de pegar as doenças.","A reportagem selecionou esse desenho do arquivo pessoal de Darlan Rosa."
"2021/07/13 5:41:17 PM GMT+1","6º ano","É o mascote de vacinação ","foi quem inventou o zé gotinha em 1986","ele ficava em um canto chorando pois não tinha nome","1986","sim a propaganda quando nasceu ela era triste mais agora ela é feliz","pois não tinha nome","atraves de uma votação","pois ele encorajo as crianças ","menino do destrito federal ","ela era encorajar as crianças para tomarem vacina","pois ela previne doenças graves","pois não doi e previne doenças","doença que causa paralisia nas crianças","eu acho que era assim pois não havia muito avanço da internet e para chegar mais rapido","pois ele retira o medo delas","ele é escultor","para mostrar falas","opinião  ilustre fato sou uma pessoa","pois ela mostra que o  zé gotinha retirou o medo das crianças","ele tinham medo de pegar doenças","ela selecionou como duas gotas"
"2021/07/13 5:49:31 PM GMT+1","6º ano","Zé gotinha é um personagem.","Criador do Zé gotinha.","Eram de dar medo, eles engrandeciam as coisas como doenças, para passar medo em crianças.","Ele foi criado em 1986.","Antes, não tinha nome, uma aparência pouco planejada, já hoje, tem o nome Zé gotinha, uma aparência digitalizada, mas moderna.","Ele aparecia chorando porquê não tinha nome ainda. ","Foi feita com um sorteio: primeiro as pessoas escreviam o nome sugerido, depois, foi feito um sorteio para saber que nome ganharia.","Eles entenderam isso pois tiveram mais de 10 mil cartas com esse nome.","Um garoto do Distrito Federal.","Fazer com que alguém forte passasse coragem para quem ia vacinar.","Vacina é um assunto serio porque previne doenças.","Não é preciso ter medo porque é para um bem maior. ","É uma doença que causa paralisia nas crianças.","Deve ter sido para não incentivar as pessoas á ficarem em eletrônicos .","Ele representar uma vacina em si.","Ele é escultor, em Brasília.","As aspas servem para indicar modo de falar, gírias.","Opinião: Aqui sou uma pessoa ilustre.
Fato: Darlan virou até nome de prédio residencial na cidade.","Barreira dos medo acabou significa que as pessoas pararam de ficar com medo de tomar vacina.
Deslanchou significa que o projeto foi pra frente, deu certo.","Ficar com muito medo.","Eles tiraram d arquivo pessoal de Darlan Rosa."
"2021/07/13 5:49:55 PM GMT+1","6º ano","personagem mascote da vacinação.","o criador do zé gotinha.","eram assustadoras, como citado no texto.","1986.","ele não tinha nome antigamente, depois ganhou o apelido de zé gotinha","ele queria um nome.","através de um concurso de nomes","o ganhador deu um nome criativo, que venceu, assim fazendo eles saberem qual nome colocar","um menino do distrito federal ","ser um mascote que encoraja crianças a se vacinarem sem ficar com medo","as vacinas amenizam uma doença, como exemplo, a vacina do corona vírus (COVID-19) qe faz os sintomas não serem letais. Por isso eles são importantes","é uma agulha, doí bastante, porém só no começo apenas.","doença que causa paralisia nas crianças","nomes criativos seriam dados.","ele é amigável, um personagem com carisma que todos se lembram, as crianças adoram personagens animados.","esculturas em Brasília.","determinar alguma fala de alguém.","o fato é ""sou uma pessoa ilustre"", não sei a opinião citada","que o medo acabou; fez sucesso","ficar com muito medo de ficar doente","dos arquivos pessoais de Darlan Rosa."
"2021/07/13 5:51:37 PM GMT+1","6º ano","um personagem  criado para não deixar as crianças com medo de vacinas","o criador do Zé Gotinha","eram tenebrosas, medonhas, assustadoras","1986","antes o personagem tinha a forma de uma vacina e não era um mascote. Hoje em dia ele tem a forma de gota ","ele aparecia chorando porque não tinha um nome ","foi feita a partir de um concurso","pelo grande número de brasileiros dando sugestões de o personagem se chamar zé gotinha","um garoto de Distrito Federal","ajudar a crianças a impedirem seus medos de tomar vacina","porque trata de doenças","porque mesmo a vacina doendo, não precisa ter medo de tal coisa pois você vai fica imune á tais doenças","uma doença que causa paralisia em crianças","nessa tal época não tinha internet ","um personagem forte que ensina as crianças a se vacinarem","ele é atualmente escultor","estão indicando fala","fato-pessoa opinião-pessoa ilustre","o medo impedindo a pessoa, e ficou famosa","significa ficar com muito, muito medo","do arquivo pessoal de darlan rosa"
"2021/07/13 5:52:10 PM GMT+1","6º ano","Zé gotinha e um boneco que foi formado com as duas gotinhas da polio e ele encorajava as crianças a tomar as vacinas sem medo ","a criadora do Zé gotinha ","em um programa infantil","ele foi criado em 1986","ele tinha a forma de uma vacina  agora  ele e uma gota","ele aparecia sentado chorando dizendo que e porque ele ainda ao tem nome","através de uma campanha aonde as pessoas mandava cartas para escolher seu nome e a maioria  queria Zé gotinha","pelas cartas mandadas que a maioria era Zé gotinha","um menino do distrito federal","era uma representação da vacina em si"," porque todo mundo precisava de morrer de medo de ficar doente","porque não dói e faz o bem paraagente","e as gotinhas que foram usadas para criar o Zé gotinha","pois tinha gente que não era daquela cidade","as crianças quererem ir aos pontos de vacinação e perde o medo de se vacinarem","ele e um escultor","representar falas do  criador  e falar sobre fatos
","foto e que ela e ""uma pessoa ilustre""","acabou terminou","não querer ficar doente","do programa de desenho infantil"
"2021/07/13 5:53:31 PM GMT+1","6º ano","o mascote da vacinação ","o criador do zè gotinha ","eram  assustadoras  o ze gotinha ficava sentado chorando ","1986","antes ele era como uma vacina e hoje como uma gota ","porque ele não tinha um nome ","por meio de um sorteio ","porque foi mandado mais de 10 mil cartas com esse nome ","um menino do distrito federal ","vacinar e tornar mais atraente para as crianças ","porque pode causar ate morte e a vacina previne ","porque e so uma picadinha e você vai estar protegido ","doença que causa paralisia nas crianças ","por que na epoca não tinha tanta tecnologia"," realmente não sei ","ele è escultor ","para melhor explicação","( Darlan virou até nome de prédio residencial na cidade)fato (Aqui, sou uma pessoa ilustre)opniÃo","(a barreira dos medos acabou) significa que as crianças não precisam mais ter medo (deslanchou) significa que fez sucesso desenvolveu  ","que todo mundo achava que ia morrer ","do arquivo pessoal do darlan rosa "
"2021/07/13 5:53:38 PM GMT+1","6º ano","Zé Gotinha é um personagem , que tinha como função encorajar as pessoas a se vacinar.","Darlan Rosa , foi quem inventou o personagem Zé Gotinha ","Ele era apenas um mascote , que tinha função representar a vacina em si.","Foi criado em 1986.","Antigamente , Zé Gotinha ainda não havia recebido esse nome, ele apenas representava a vacina em si , não um mascote. Atualmente , Zé Gotinha é um mascote, que tem como função ajudar a encorajar no momento de sua vacinação. ","Ele aparece no comercial chorando, pois ele representava as crianças dessa época, é as ajudava a encorar ir se vacinar.","Eles realizaram um concurso , para as crianças de todo o Brasil , enviar cartas para escolher o nome do personagem. Depois ,eles realizarão  um sorteio para decidir o nome do personagem, então , surgiu o nome Zé Gotinha ","FOI UM NOME QUE CHAMARAM ATENÇÃO. ","Um menino do Distrito Federal. ","Era tranquilizar as crianças no momento de sua vacinação. Para elas , ele representava um orgulho em suas vidas. ","Pois , os médicos  daquela época achava todos devirão morrer de medo de ficar doente. ","Pois , vacina é apenas um"" picadinha"", que ira ajudar o seu corpo a combater a doença .","Poliomeilite->Doença que causava paralisa nas crianças  ","Pois , naquela época a internet não era tão comum e nem todo mundo tinha acesso , como atualmente. Assim , não tinha como enviar um e-mail, por exemplo.  ","Pois , ele demostrava as crianças que a vacinação era algum que as ajudaria ","Trabalha como escultor. ","Refere-se a fala de uma pessoa",". Darlan virou até nome de prédio residencial na cidade-> fato 
“Aqui, sou uma pessoa ilustre”-> Opinião 
","A barreira de medos -> o medo que elas sentia acabou 
Deslanchou -> Desenvolveu,caminhou ","Significa -> Ficar com medo de perder alguém  , apreensiva ","Do arquivo pessoal de Darnal Rosa "
"2021/07/13 5:56:07 PM GMT+1","6º ano","o Zé Gotinha e um personagem criado por Darlan Rosa ","Darlan Rosa é´a pessoa que desenhou o Zé gotinha   ","Erram para fazer as pessoas terrem medo de ficar doente  ","1986","O personagem era duas gotinha da polio ","Ele aparecia no comercial chorando pois não tinha nome ","Foi feita através  de carta  ","Pois avia mais de 10 mil cartas com esse nome ","Um menino do DF","fazer as pessoas se interessasse mais por vacina ","pois as pessoas doentes podem morrer ","pois faz bem não mau ","e uma doença que pode matar criança ","pois não tinha celular","que ele é animado ","ele é escultor ","para mostra as falas de darlan ","fato: Darlan virou até nome de prédio residencial na cidade. opinião: “Aqui, sou uma pessoa ilustre”"," barreira de medo o medo: não te permite faz deslanchou: desenvolveu ","muito medo","do primeiro esboço dele "
"2021/07/13 5:56:37 PM GMT+1","6º ano","Ele era um boneco que representava a vacinaçao.","Darlan Rosa, foi quem inventou o Zé Gotinha.","Assustadoras para as crianças tomarem vacinas.","1986.","Antigamente ele era uma vacina.Hoje ele é uma gota.","Ele aparecia chorando pois,ão tinha nome.","Foi feita por meio de um sorteio.","´Para representar a vacina por meio da vacina.","Um menino do Distrito federal.","Era tirar o medo das pessoas de tomar vacina por meio de um mascote.","Ela é um assunto sério pois se não tomarmos podemos nos prejudica.","Porque faz bem para a nossa saúde","É uma doença.","Porque seria por todo o mundo.","A gotinha feliz.","Atualmente ele trabalha como escultor","Indicar a fala do personagem.","Fato:Virou ate nome de predio residencial.Opinião:Aqui,sou uma pessoa ilustre.","Barreira dos medos:O medo.Deslanchou:foi muito boa.","Tivesse muito medo de ficar doente","arquivo pessoal Darlan Rosa"
"2021/07/13 8:27:20 PM GMT+1","6º ano","Um personagem que foi criado por Darlan para tirar o medo das crianças de tomar vacina","O criador do Zé Gotinha que hoje em dia é escultor","Eram assustadoras","1986","antigamente ele era rosa e hoje em dia ele é branco e ele era humanoide e hoje em dia parece um humano normal","pq ele n tinha nome","por um concurso","pq 10 mil crianças colocaram esse nome","um garoto do distrito federal","tirar o medo das crianças","pq salvam vidas","pq elas doem mas ajudam na sua saúde e te salvam de doenças","uma doença que causa paralisia nas crianças que n circula mais no brasil","pq na época n existia celulares para fazer enquetes ","o carisma dele e a coragem dele para se vacinar","esculturas","para identificar falas","*Darlan virou até nome de prédio residencial* na cidade, ""(Aqui, sou uma pessoa ilustre)"" brinca.","barreira dos medos: o medo das crianças em tomarem vacina
deslanchou: ficou muito famoso","significa ficar com muito medo","de um arquivo pessoal de darlan
"
"2021/07/13 8:30:28 PM GMT+1","6º ano","É um personagem fictício que conquistou o amor pelo Brasil com seu carisma","O criador do Zé gotinha","O Zé Gotinha chorando porque não tinha um nome.","Em 1986","Ele era branco e hoje é azul","Porque ele ainda não tinha um nome","A população enviou cartas com sugestões de nomes","Porque escolheram ","Darlan","Escolher um nome para ele","Porque cura doenças","Porque é só uma picadinha de mosquito kkkk","É uma vacina","Para darem sugestões de nome","Era um personagem de televisão, por isso incentivou as crianças a se vacinarem","Mora em Brasília tem 74 anos ","Para destacar ","Sim. Se tornou importante   ","Que ele tinha medo da vacina","Ficar com muito medo de alguma coisa ","Da sua imaginação"
